collection.id,sample.ID,old.sample.ID,photo.ID.no,skeletal.sample,pub.author,pub.year,collection.period.from,collection.period.to,collection.date,extract.date,extract.method,collected.by,host.group,host.order,host.family,host.genus,host.species,host.ID.date,host.ID.by,host.ID.method,host.ID.changed.from.publication,host.ID.changed.from,host.morphotype,corallite size (mm),colony.sex,ocean,country,region,subregion,area,location,site,shelf.position,latitude,longitude,reef.type,avg.depth,depth.min,depth.max,sym.genus.1,sym.genus.2,sym.genus.3,sym.type.1,sym.type.2,sym.type.3,sym.type.ID.year,sym.type.author,sym.type.changed.from,comment.field.coral.ID,comment.symbiont.profile,comment.sample.processing,,
AU18,AU18_0031,,Split31,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_glauca,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0032,,Split32,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_valida,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0033,,Split33,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_solitaryensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0034,,Split34,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_valida,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0035,,Split35,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_solitaryensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0036,,Split36,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_glauca,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0037,,Split37,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_solitaryensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0038,,Split38,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_glauca,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0039,,Split39,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_valida,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0040,,Split40,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_valida,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0041,,Split41,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_solitaryensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0042,,Split42,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_valida,,,,,,valida_morph2,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,8,,,,,,,,,,,,,,,,
AU18,AU18_0043,,Split43,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_solitaryensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0044,,Split44,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_solitaryensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0045,,Split45,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_solitaryensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0046,,Split46,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_valida,,,,,,valida_morph2,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0047,,Split47,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_glauca,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0048,,Split48,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_valida,,,,,,valida_morph2,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0049,,Split49,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_glauca,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0050,,Split50,,Sampayo,unpublished,2018,2018,10/9/2018,,,Doropoulos,hard_coral,Scleractinia,Acroporidae,Acropora,Acropora_glauca,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,8,,,,,,,,,,,,,,,,
AU18,AU18_0051,,NS51,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Mussidae,Acanthastrea,Acanthastrea_echinata,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,green,,,,
AU18,AU18_0052,,NS52,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Faviidae,Astrea,Astrea_curta,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,dark brown,,,,
AU18,AU18_0053,,NS53,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Paragoniastrea,Paragoniastrea_australensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0054,,NS54,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Paragoniastrea,Paragoniastrea_australensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0055,,NS55,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Mussidae,Acanthastrea,Acanthastrea_echinata,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,green,,,,
AU18,AU18_0056,,NS56,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Paragoniastrea,Paragoniastrea_australensis,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0057,,NS57,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Faviidae,Astrea,Astrea_curta,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,dark brown,,,,
